@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
864,'2021/01/04 07:18:44:042',16,314,429,0,0,1
865,'2021/01/04 07:18:44:058',16,314,429,0,0,1
866,'2021/01/04 07:18:44:075',16,314,429,0,0,1
867,'2021/01/04 07:18:44:092',16,314,429,0,0,1
868,'2021/01/04 07:18:44:109',16,314,429,0,0,1
869,'2021/01/04 07:18:44:126',16,314,429,0,0,1
870,'2021/01/04 07:18:44:142',16,314,429,0,0,1
871,'2021/01/04 07:18:58:009',17,453,354,0,0.29,0.72
872,'2021/01/04 07:18:58:023',17,453,354,0,0.29,0.72
873,'2021/01/04 07:18:58:039',17,453,354,0,0.29,0.72
874,'2021/01/04 07:18:58:056',17,453,354,0,0.29,0.72
875,'2021/01/04 07:18:58:072',17,453,354,0,0.29,0.72
876,'2021/01/04 07:18:58:089',17,453,354,0,0.29,0.72
877,'2021/01/04 07:18:58:106',17,453,354,0,0.29,0.72
878,'2021/01/04 07:18:58:122',17,453,354,0,0.29,0.72
879,'2021/01/04 07:18:58:139',17,453,354,0,0.29,0.72
880,'2021/01/04 07:18:58:155',17,453,354,0,0.29,0.72
881,'2021/01/04 07:18:58:172',17,453,354,0,0.29,0.72
882,'2021/01/04 07:18:58:189',17,453,354,0,0.29,0.72
883,'2021/01/04 07:18:58:205',17,453,354,0,0.29,0.72
884,'2021/01/04 07:18:58:221',17,453,354,0,0.29,0.72
885,'2021/01/04 07:18:58:238',17,453,354,0,0.29,0.72
886,'2021/01/04 07:18:58:254',17,453,354,0,0.29,0.72
887,'2021/01/04 07:18:58:271',17,453,354,0,0.29,0.72
888,'2021/01/04 07:18:58:288',17,453,354,0,0.29,0.72
889,'2021/01/04 07:18:58:304',17,453,354,0,0.29,0.72
890,'2021/01/04 07:18:58:321',17,453,354,0,0.29,0.72
891,'2021/01/04 07:18:58:338',17,453,354,0,0.29,0.72
892,'2021/01/04 07:18:58:355',17,453,354,0,0.29,0.72
893,'2021/01/04 07:18:58:371',17,453,354,0,0.29,0.72
