@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
412,'2021/02/15 01:50:55:060',19,5,0
413,'2021/02/15 01:50:55:070',19,5,0
414,'2021/02/15 01:50:55:079',19,5,0
415,'2021/02/15 01:50:55:090',19,5,0
416,'2021/02/15 01:50:55:099',19,4,0
417,'2021/02/15 01:50:55:109',19,4,0
418,'2021/02/15 01:50:55:122',19,4,0
419,'2021/02/15 01:50:55:130',19,4,0
420,'2021/02/15 01:50:55:140',19,4,0
421,'2021/02/15 01:50:55:150',19,4,0
422,'2021/02/15 01:50:55:160',19,4,0
423,'2021/02/15 01:50:55:170',19,4,0
424,'2021/02/15 01:50:55:180',19,4,0
425,'2021/02/15 01:50:55:190',19,4,0
426,'2021/02/15 01:50:55:200',19,4,0
427,'2021/02/15 01:50:55:210',19,4,0
428,'2021/02/15 01:50:55:220',19,4,0
429,'2021/02/15 01:50:55:229',19,4,0
430,'2021/02/15 01:50:55:239',19,4,0
431,'2021/02/15 01:50:55:250',19,4,0
432,'2021/02/15 01:50:55:259',19,4,0
433,'2021/02/15 01:50:55:270',19,4,0
434,'2021/02/15 01:50:55:279',19,4,0
435,'2021/02/15 01:50:55:289',19,4,0
436,'2021/02/15 01:50:55:299',19,4,0
437,'2021/02/15 01:50:55:310',19,4,0
438,'2021/02/15 01:50:55:319',19,4,0
439,'2021/02/15 01:50:55:330',19,4,0
440,'2021/02/15 01:50:55:340',19,4,0
441,'2021/02/15 01:50:55:350',19,4,0
442,'2021/02/15 01:50:55:359',19,4,0
443,'2021/02/15 01:50:55:370',19,4,0
444,'2021/02/15 01:50:55:380',19,4,0
445,'2021/02/15 01:50:55:390',19,4,0
446,'2021/02/15 01:50:55:400',19,4,0
447,'2021/02/15 01:50:55:410',19,4,0
448,'2021/02/15 01:50:55:420',19,4,0
449,'2021/02/15 01:50:55:429',19,4,0
450,'2021/02/15 01:50:55:439',19,4,0
451,'2021/02/15 01:50:55:450',19,4,0
452,'2021/02/15 01:50:55:460',19,4,0
453,'2021/02/15 01:50:55:470',19,4,0
